state,strata,date,proportion
Malaysia,overall,2000-01-01,92
Malaysia,overall,2001-01-01,92.7
Malaysia,overall,2002-01-01,93.2
Malaysia,overall,2003-01-01,93.7
Malaysia,overall,2004-01-01,94
Malaysia,overall,2005-01-01,95
Malaysia,overall,2006-01-01,94.8
Malaysia,overall,2007-01-01,90.5
Malaysia,overall,2008-01-01,90.9
Malaysia,overall,2009-01-01,93
Malaysia,overall,2010-01-01,94.2
Malaysia,overall,2011-01-01,94.4
Malaysia,overall,2012-01-01,94.7
Malaysia,overall,2013-01-01,95.1
Malaysia,overall,2014-01-01,95.3
Malaysia,overall,2015-01-01,95.5
Malaysia,overall,2016-01-01,95.3
Malaysia,overall,2017-01-01,95.5
Malaysia,overall,2018-01-01,95.6
Malaysia,overall,2019-01-01,95.2
Malaysia,overall,2020-01-01,94.5
Malaysia,overall,2021-01-01,94.7
Malaysia,overall,2022-01-01,94.9
Malaysia,rural,2000-01-01,85
Malaysia,rural,2001-01-01,86
Malaysia,rural,2002-01-01,86
Malaysia,rural,2003-01-01,86.2
Malaysia,rural,2004-01-01,87
Malaysia,rural,2005-01-01,92
Malaysia,rural,2006-01-01,91
Malaysia,rural,2007-01-01,84.6
Malaysia,rural,2008-01-01,85.3
Malaysia,rural,2009-01-01,88.4
Malaysia,rural,2010-01-01,89.7
Malaysia,rural,2011-01-01,90.1
Malaysia,rural,2012-01-01,90.7
Malaysia,rural,2013-01-01,92.5
Malaysia,rural,2014-01-01,92.6
Malaysia,rural,2015-01-01,93
Malaysia,rural,2016-01-01,93.4
Malaysia,rural,2017-01-01,93.9
Malaysia,rural,2018-01-01,94
Malaysia,rural,2019-01-01,93.1
Malaysia,rural,2020-01-01,91.6
Malaysia,rural,2021-01-01,91.9
Malaysia,rural,2022-01-01,92.3
Malaysia,urban,2000-01-01,97
Malaysia,urban,2001-01-01,97
Malaysia,urban,2002-01-01,97
Malaysia,urban,2003-01-01,98.2
Malaysia,urban,2004-01-01,97
Malaysia,urban,2005-01-01,98
Malaysia,urban,2006-01-01,97.8
Malaysia,urban,2007-01-01,96.5
Malaysia,urban,2008-01-01,96.5
Malaysia,urban,2009-01-01,96.8
Malaysia,urban,2010-01-01,96.7
Malaysia,urban,2011-01-01,96.8
Malaysia,urban,2012-01-01,96.9
Malaysia,urban,2013-01-01,97
Malaysia,urban,2014-01-01,97.1
Malaysia,urban,2015-01-01,97.2
Malaysia,urban,2016-01-01,97.2
Malaysia,urban,2017-01-01,97.2
Malaysia,urban,2018-01-01,97.2
Malaysia,urban,2019-01-01,97.3
Malaysia,urban,2020-01-01,97.3
Malaysia,urban,2021-01-01,97.5
Malaysia,urban,2022-01-01,97.4
Johor,overall,2000-01-01,99
Johor,overall,2001-01-01,99.7
Johor,overall,2002-01-01,99.6
Johor,overall,2003-01-01,99.7
Johor,overall,2004-01-01,99.4
Johor,overall,2005-01-01,99.5
Johor,overall,2006-01-01,99.5
Johor,overall,2007-01-01,99.8
Johor,overall,2008-01-01,99.8
Johor,overall,2009-01-01,99.8
Johor,overall,2010-01-01,99.8
